diagonal,height_left,height_right,margin_low,margin_up,length,id
171.81,104.86,104.95,4.52,2.89,112.83,1024
171.67,103.74,103.7,4.01,2.87,113.29,372
171.83,103.76,103.76,4.4,2.88,113.84,28
171.8,103.78,103.65,3.73,3.12,113.63,41
172.05,103.7,103.75,5.04,2.27,113.55,10028
172.57,104.65,104.44,4.54,2.99,113.16,238
172.38,103.55,103.8,3.97,2.9,113.3,777
171.58,103.65,103.37,3.54,3.19,113.38,80273
171.96,103.51,103.75,4.06,3.33,113.53,1273
171.79,104.05,104.3,5.02,3.44,112.01,109
172.04,104.17,103.9,5.05,3.62,111.56,1198
172.22,104.41,104.64,5.2,3.37,112.2,17342
172.1,104.3,104.21,4.07,3.41,111.27,2038
172.09,104.4,104.21,5.28,3.41,112.11,14026
172.32,104.6,104.83,4.84,3.51,112.55,15638
171.89,104.32,103.94,5.64,3.3,111.56,1920
172.1,104.22,103.99,5.26,3.24,111.94,1092
172.43,104.32,103.95,4.13,3.39,111.5,1887
171.78,104.51,104.06,5.9,3.18,111.91,19123
171.75,104.36,104.02,6.0,3.13,111.79,20456
171.83,104.39,104.17,5.51,3.33,113.64,21825
